mnemonic,family,eew_bits,width,mop,nf,sumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vsoxseg8ei16.v,Segment indexed ordered,16,0b101,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei32.v,Segment indexed ordered,32,0b110,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei64.v,Segment indexed ordered,64,0b111,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei8.v,Segment indexed ordered,8,0b000,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei16.v,Segment indexed unordered,16,0b101,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei32.v,Segment indexed unordered,32,0b110,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei64.v,Segment indexed unordered,64,0b111,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei8.v,Segment indexed unordered,8,0b000,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei16.v,Segment indexed unordered,16,0b101,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei32.v,Segment indexed unordered,32,0b110,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei64.v,Segment indexed unordered,64,0b111,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei8.v,Segment indexed unordered,8,0b000,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei16.v,Segment indexed unordered,16,0b101,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei32.v,Segment indexed unordered,32,0b110,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei64.v,Segment indexed unordered,64,0b111,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei8.v,Segment indexed unordered,8,0b000,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg5ei16.v,Segment indexed unordered,16,0b101,0b01,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg5ei32.v,Segment indexed unordered,32,0b110,0b01,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg5ei64.v,Segment indexed unordered,64,0b111,0b01,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg5ei8.v,Segment indexed unordered,8,0b000,0b01,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg6ei16.v,Segment indexed unordered,16,0b101,0b01,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg6ei32.v,Segment indexed unordered,32,0b110,0b01,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg6ei64.v,Segment indexed unordered,64,0b111,0b01,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg6ei8.v,Segment indexed unordered,8,0b000,0b01,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg7ei16.v,Segment indexed unordered,16,0b101,0b01,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg7ei32.v,Segment indexed unordered,32,0b110,0b01,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg7ei64.v,Segment indexed unordered,64,0b111,0b01,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg7ei8.v,Segment indexed unordered,8,0b000,0b01,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg8ei16.v,Segment indexed unordered,16,0b101,0b01,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg8ei32.v,Segment indexed unordered,32,0b110,0b01,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg8ei64.v,Segment indexed unordered,64,0b111,0b01,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg8ei8.v,Segment indexed unordered,8,0b000,0b01,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg2e16.v,Segment strided,16,0b101,0b10,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg2e32.v,Segment strided,32,0b110,0b10,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg2e64.v,Segment strided,64,0b111,0b10,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg2e8.v,Segment strided,8,0b000,0b10,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg3e16.v,Segment strided,16,0b101,0b10,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg3e32.v,Segment strided,32,0b110,0b10,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg3e64.v,Segment strided,64,0b111,0b10,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg3e8.v,Segment strided,8,0b000,0b10,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
