mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vlseg4e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b011,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg4e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b011,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg4e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b011,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg4e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b011,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg5e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b100,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg5e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b100,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg5e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b100,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg5e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b100,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg6e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b101,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg6e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b101,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg6e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b101,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg6e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b101,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg7e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b110,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg7e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b110,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg7e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b110,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg7e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b110,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b111,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b111,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b111,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b111,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlse16.v,Strided,Zve32x/Zve64x base,16,0b101,0b10,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlse32.v,Strided,Zve32x/Zve64x base,32,0b110,0b10,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlse64.v,Strided,Zve32x/Zve64x base,64,0b111,0b10,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlse8.v,Strided,Zve32x/Zve64x base,8,0b000,0b10,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vle16.v,Unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vld_decode_table,"SEW x LMUL(분수 포함) x vl x vstart x vta/vma/vm, golden reference 32 레지스터 전수 비교","요청 집합 정확성(T1), flush drain(T2), bus error(T3), busy_o(T4), 연속 발행(T5), MO 클록(T6)",
vle32.v,Unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vld_decode_table,"SEW x LMUL(분수 포함) x vl x vstart x vta/vma/vm, golden reference 32 레지스터 전수 비교","요청 집합 정확성(T1), flush drain(T2), bus error(T3), busy_o(T4), 연속 발행(T5), MO 클록(T6)",
vle64.v,Unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vld_decode_table,"SEW x LMUL(분수 포함) x vl x vstart x vta/vma/vm, golden reference 32 레지스터 전수 비교","요청 집합 정확성(T1), flush drain(T2), bus error(T3), busy_o(T4), 연속 발행(T5), MO 클록(T6)",
vle8.v,Unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vld_decode_table,"SEW x LMUL(분수 포함) x vl x vstart x vta/vma/vm, golden reference 32 레지스터 전수 비교","요청 집합 정확성(T1), flush drain(T2), bus error(T3), busy_o(T4), 연속 발행(T5), MO 클록(T6)",
vl1re16.v,Whole register,Zve32x/Zve64x base,16,0b101,0b00,0b000,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl1re32.v,Whole register,Zve32x/Zve64x base,32,0b110,0b00,0b000,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl1re64.v,Whole register,Zve32x/Zve64x base,64,0b111,0b00,0b000,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl1re8.v,Whole register,Zve32x/Zve64x base,8,0b000,0b00,0b000,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl2re16.v,Whole register,Zve32x/Zve64x base,16,0b101,0b00,0b001,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl2re32.v,Whole register,Zve32x/Zve64x base,32,0b110,0b00,0b001,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl2re64.v,Whole register,Zve32x/Zve64x base,64,0b111,0b00,0b001,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl2re8.v,Whole register,Zve32x/Zve64x base,8,0b000,0b00,0b001,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl4re16.v,Whole register,Zve32x/Zve64x base,16,0b101,0b00,0b011,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl4re32.v,Whole register,Zve32x/Zve64x base,32,0b110,0b00,0b011,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl4re64.v,Whole register,Zve32x/Zve64x base,64,0b111,0b00,0b011,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl4re8.v,Whole register,Zve32x/Zve64x base,8,0b000,0b00,0b011,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl8re16.v,Whole register,Zve32x/Zve64x base,16,0b101,0b00,0b111,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl8re32.v,Whole register,Zve32x/Zve64x base,32,0b110,0b00,0b111,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl8re64.v,Whole register,Zve32x/Zve64x base,64,0b111,0b00,0b111,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vl8re8.v,Whole register,Zve32x/Zve64x base,8,0b000,0b00,0b111,0b01000,1,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
