mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vlseg8e16ff.v,Fault-only-first,Zve32x/Zve64x base,16,0b101,0b00,0b111,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e32ff.v,Fault-only-first,Zve32x/Zve64x base,32,0b110,0b00,0b111,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e64ff.v,Fault-only-first,Zve32x/Zve64x base,64,0b111,0b00,0b111,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg8e8ff.v,Fault-only-first,Zve32x/Zve64x base,8,0b000,0b00,0b111,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxei16.v,Indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxei32.v,Indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxei64.v,Indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxei8.v,Indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxei16.v,Indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxei32.v,Indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
